date,forecast_revenue,lower_bound,upper_bound
2024-01-01,285.42,173.5,397.33
2024-01-02,286.88,174.97,398.8
2024-01-03,275.06,163.15,386.98
2024-01-04,275.39,163.48,387.31
2024-01-05,286.74,174.82,398.65
2024-01-06,87.66,0.0,199.58
2024-01-07,91.28,0.0,203.19
2024-01-08,285.25,173.33,397.17
2024-01-09,286.71,174.8,398.63
2024-01-10,274.89,162.98,386.81
2024-01-11,275.22,163.31,387.14
2024-01-12,286.57,174.65,398.48
2024-01-13,87.49,0.0,199.41
2024-01-14,91.11,0.0,203.02
2024-01-15,285.08,173.16,397.0
2024-01-16,286.54,174.63,398.46
2024-01-17,274.73,162.81,386.64
2024-01-18,275.05,163.14,386.97
2024-01-19,286.4,174.48,398.32
2024-01-20,87.32,0.0,199.24
2024-01-21,90.94,0.0,202.85
2024-01-22,284.91,172.99,396.83
2024-01-23,286.37,174.46,398.29
2024-01-24,274.56,162.64,386.47
2024-01-25,274.88,162.97,386.8
2024-01-26,286.23,174.31,398.15
2024-01-27,87.15,0.0,199.07
2024-01-28,90.77,0.0,202.69
2024-01-29,284.74,172.83,396.66
2024-01-30,286.21,174.29,398.12
2024-01-31,274.39,162.47,386.3
2024-02-01,274.72,162.8,386.63
2024-02-02,286.06,174.15,397.98
2024-02-03,86.98,0.0,198.9
2024-02-04,90.6,0.0,202.52
2024-02-05,284.57,172.66,396.49
2024-02-06,286.04,174.12,397.95
2024-02-07,274.22,162.3,386.14
2024-02-08,274.55,162.63,386.46
2024-02-09,285.89,173.98,397.81
2024-02-10,86.82,0.0,198.73
2024-02-11,90.43,0.0,202.35
2024-02-12,284.4,172.49,396.32
2024-02-13,285.87,173.95,397.78
2024-02-14,274.05,162.13,385.97
2024-02-15,274.38,162.46,386.29
2024-02-16,285.72,173.81,397.64
2024-02-17,86.65,0.0,198.56
2024-02-18,90.26,0.0,202.18
2024-02-19,284.24,172.32,396.15
2024-02-20,285.7,173.78,397.62
2024-02-21,273.88,161.97,385.8
2024-02-22,274.21,162.29,386.13
2024-02-23,285.56,173.64,397.47
2024-02-24,86.48,0.0,198.39
2024-02-25,90.09,0.0,202.01
2024-02-26,284.07,172.15,395.98
2024-02-27,285.53,173.61,397.45
2024-02-28,273.71,161.8,385.63
2024-02-29,274.04,162.12,385.96
2024-03-01,285.39,173.47,397.3
2024-03-02,86.31,0.0,198.23
2024-03-03,89.93,0.0,201.84
2024-03-04,283.9,171.98,395.81
2024-03-05,285.36,173.45,397.28
2024-03-06,273.54,161.63,385.46
2024-03-07,273.87,161.96,385.79
2024-03-08,285.22,173.3,397.13
2024-03-09,86.14,0.0,198.06
2024-03-10,89.76,0.0,201.67
2024-03-11,283.73,171.81,395.65
